BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
GBDxx_UT1,0,0,0,0,0,1,3,5.5
GOun_CO1,0,0.5,1,1.5,2,4,5.5,7.5
ICHdh_ID1,1,2,2.5,3,3.5,5,6,8
ICHdk1,1,1.5,2.5,3,3.5,5,6,8
ICHdm1,2,2.5,3,4,4.5,5.5,7,8
ICHdw_ID1,2,2.5,3,3.5,4.5,5.5,7,8
ICHdw11,2,2.5,3,3.5,4.5,5.5,7,8
ICHdw31,1.5,2.5,3,3.5,4,5.5,6.5,8
ICHdw41,1.5,2,2.5,3,4,5.5,6.5,8
ICHmc11,2.5,3.5,4,4.5,5,6,7,8
ICHmc21,2,2.5,3.5,4,4.5,6,7,8
ICHmh_MT1,1.5,2,3,3.5,4,5.5,6.5,8
ICHmk11,1,2,2.5,3,3.5,5,6,8
ICHmk21,1.5,2,2.5,3,4,5.5,6.5,8
ICHmk31,1.5,2,3,3.5,4,5.5,6.5,8
ICHmk41,2.5,3,4,4.5,5,6,7,8
ICHmk51,2,2.5,3.5,4,4.5,6,7,8
ICHmm1,3,3.5,4,4.5,5.5,6.5,7.5,8
ICHmw_MT1,2,2.5,3,3.5,4.5,5.5,7,8
ICHmw11,2.5,3,3.5,4,5,6,7,8
ICHmw21,2.5,3,3.5,4,5,6,7,8
ICHmw31,2.5,3,3.5,4,5,6,7,8
ICHmw41,2.5,3,4,4.5,5,6,7,8
ICHmw51,2,3,3.5,4,4.5,6,7,8
ICHvc1,2.5,3,4,4.5,5,6,7,8
ICHvk11,3,3.5,4,4.5,5.5,6.5,7.5,8
ICHvk21,3,3.5,4,5,5.5,6.5,7.5,8
ICHwc1,2.5,3,4,4.5,5,6,7,8
ICHwk11,2.5,3.5,4,4.5,5,6,7,8
ICHwk21,2.5,3,3.5,4,5,6,7,8
ICHwk31,3,3.5,4,4.5,5.5,6.5,7.5,8
ICHwk41,3,3.5,4,4.5,5.5,6.5,7.5,8
ICHxh_ID1,1.5,2,2.5,3.5,4,5.5,6.5,8
ICHxm11,0.5,1.5,2,2.5,3,5,6,8
ICHxw1,1,1.5,2,3,3.5,5,6,8
ICHxw_ID1,2,2.5,3,4,4.5,5.5,7,8
ICHxw_WA1,0.5,1,1.5,2.5,3,4.5,6,8
ICHxwa1,1,1.5,2,2.5,3.5,5,6,8
IDFdc1,1.5,2.5,3,3.5,4,5.5,6.5,8
IDFdh1,0,0,1,1.5,2,4,5.5,7.5
IDFdh_MT1,0,0,1,1.5,2,4,5.5,7.5
IDFdh_UT1,0,0,0.5,1,1.5,3,5,7
IDFdh_WA1,0,0.5,1,1.5,2,4,5.5,7.5
IDFdk_MT1,0.5,1,1.5,2.5,3,4.5,6,8
IDFdk_WA1,0,0.5,1.5,2,2.5,4.5,5.5,7.5
IDFdk11,0.5,1,1.5,2.5,3,4.5,6,8
IDFdk21,1,1.5,2,3,3.5,5,6,8
IDFdk31,0.5,1,1.5,2,3,4.5,6,8
IDFdk41,0.5,1,1.5,2,3,4.5,6,8
IDFdk51,0.5,1.5,2,2.5,3,5,6,8
IDFdkx_MT1,0,1,1.5,2,2.5,4.5,5.5,7.5
IDFdm_MT1,0,1,1.5,2,2.5,4.5,5.5,7.5
IDFdm_WA1,0,0.5,1,2,2.5,4.5,5.5,7.5
IDFdm11,0,1,1.5,2,2.5,4.5,5.5,7.5
IDFdm21,0.5,1,1.5,2,3,4.5,6,8
IDFdw1,1.5,2,2.5,3,4,5.5,6.5,8
IDFdx_MT1,0,0.5,1,1.5,2,4,5.5,7.5
IDFdxx_WY1,0,0.5,1,1.5,2.5,4.5,5.5,7.5
IDFmw21,0.5,1,1.5,2.5,3,4.5,6,8
IDFww3,1.5,2,2.5,3,4,5.5,6.5,8
IDFww11,1,1.5,2.5,3,3.5,5,6,8
IDFww21,1.5,2,3,3.5,4,5.5,6.5,8
IDFxc1,0.5,1.5,2,2.5,3,5,6,8
IDFxh_ID1,0,0.5,1.5,2,2.5,4.5,5.5,7.5
IDFxh_OR1,0,0,0.5,1,1.5,3,5,7
IDFxh_WA1,0,0,1,1.5,2,4,5.5,7.5
IDFxh11,0,0.5,1,2,2.5,4.5,5.5,7.5
